bus_id,window_id,b_kwh
4001,0,70.0
4001,1,89.20063208496585
4001,2,68.4012641699316
4001,3,47.60189625489736
4001,4,36.80252833986334
4001,5,36.00316042482862
4001,6,40.20379250979456
4001,7,44.4044245947605
4001,8,48.60505667972644
4001,9,53.3285892292221
4001,10,63.05212177871778
4001,11,42.77565432821339
4001,12,30.93487240865116
4001,13,30.658404958146722
4002,0,70.0
4002,1,31.644534156581685
4003,0,70.0
4003,1,51.72725478199228
4003,2,53.41689863747492
4003,3,35.1441534194672
4003,4,46.83379727494975
4003,5,38.561052056941804
4003,6,50.25069591242445
4003,7,51.97795069441673
4003,8,63.66759454989937
4003,9,45.39484933189165
4003,10,47.08449318737429
4003,11,30.372526543972857
4005,0,70.0
4005,1,58.49172796885324
4005,2,37.6923600538191
4005,3,41.89299213878495
4005,4,46.093624223750936
4005,5,50.29425630871694
4005,6,44.49488839368203
4005,7,44.21842094317775
4005,8,53.941953492673555
4005,9,33.66548604216912
4007,0,70.0
4007,1,59.601862327462484
4007,2,49.00847982337315
4007,3,34.93644477941215
4007,4,34.34306227532291
4007,5,48.09529444743905
4007,6,67.50191194335038
4007,7,91.25414411546748
4007,8,70.39819331664734
4007,9,35.41198686740186
4008,0,70.0
4008,1,55.11602389923856
4008,2,51.736000993600435
4008,3,36.852024892839
4008,4,33.47200198720131
4008,5,47.22423415931754
4008,6,39.3999669432398
4008,7,42.81026343836876
4008,8,76.56249561048516
4008,9,68.73822839440776
4008,10,42.14852488953708
4008,11,75.90075706165348
4008,12,68.07648984557608
4008,13,61.4867863407054
4008,14,65.2390185128218
4008,15,57.4147512967444
4008,16,31.693093903245646
4010,0,70.0
4010,1,57.72336107046184
4010,2,85.44672214092368
4010,3,83.17008321138553
4010,4,110.89344428184737
4010,5,98.6168053523092
4010,6,86.34016642277105
4010,7,74.0635274932329
4010,8,61.78688856369473
4010,9,49.51024963415657
4010,10,37.233610704618414
4012,0,70.0
4012,1,56.61997709436196
4012,2,36.65686022380929
4012,3,33.276837318171374
5001,0,70.0
5001,1,101.53945285379768
5001,2,123.07890570759486
5001,3,144.61835856139254
5001,4,136.15781141519022
5001,5,127.6972642689879
5001,6,122.86917546072871
5001,7,118.89516350570412
5001,8,110.09306274242158
5001,9,101.29096197913913
5001,10,92.48886121585667
5001,11,83.6867604525743
5001,12,74.88465968929196
5001,13,71.08255892600941
5001,14,87.28045816272694
5001,15,83.47835739944459
5001,16,79.67625663616232
5001,17,75.87415587288002
5001,18,72.0720551095977
5001,19,68.26995434631543
5001,20,64.46785358303315
5001,21,60.665752819751035
5001,22,56.863652056480134
5001,23,53.061551293199045
5001,24,49.25945052991785
5001,25,40.45734976663632
5001,26,31.655249003354726
5002,0,70.0
5002,1,87.70838539334187
5002,2,89.1840606686996
5002,3,92.51419905507368
5002,4,84.68993183899627
5002,5,61.165607114353996
5002,6,74.49574550072823
5002,7,71.67147828465083
5002,8,48.14715356000856
5002,9,30.997571329679445
5002,10,31.78188400433993
5002,11,40.48560672203333
5002,12,46.025193327789054
5002,13,31.315635064286617
5003,0,70.0
5003,1,79.94725903402036
5003,2,89.89451806804072
5003,3,69.8417771020612
5003,4,49.78903613608166
5003,5,54.736295170102224
5003,6,49.68355420412288
5003,7,54.6308132381436
5003,8,69.57807227216433
5003,9,74.52533130618518
5003,10,89.4725903402061
5003,11,80.60606169625571
5003,12,69.41984937422706
5003,13,49.89000887242692
5003,14,30.36016837062671
5003,15,30.830327868826274
5004,0,70.0
5004,1,41.51610060487996
5004,2,87.585077809547
5004,3,78.65405501421404
5004,4,69.72303221888109
5004,5,60.79200942354812
5004,6,51.86098662821516
5004,7,42.9299638328822
5004,8,33.998941037549244
5004,9,35.06791824221629
5004,10,41.13689544688333
5004,11,47.205872651550365
5004,12,58.27484985621741
5004,13,79.34382706088445
5004,14,85.41280426555149
5004,15,86.48178147021852
5004,16,92.55075867488557
5004,17,88.61973587955262
5004,18,94.68871308421966
5004,19,90.75769028888669
5004,20,81.82666749355374
5004,21,82.89564469822079
5004,22,78.96462190288783
5004,23,70.03359910755486
5004,24,61.102576312221906
