bus_id,window_id,b_kwh
1002,0,70.0
1002,1,47.12249255069188
1003,0,70.0
1003,1,76.68964385548264
1003,2,51.180680728983376
1003,3,32.872669550645384
1006,0,70.0
1006,1,57.70838539334188
1006,2,51.46061756545828
1006,3,43.636350349380876
1006,4,43.042967845291635
1006,5,30.751353238633513
1006,6,49.503585410749956
1006,7,41.679318194672554
1006,8,51.085935690583135
1006,9,38.79432108392501
1006,10,67.54655325604142
1006,11,59.72228603996402
1006,12,56.837288929216854
1006,13,65.58952110133362
1006,14,57.76525388525655
1006,15,55.04358620168286
1006,16,78.79581837379925
1006,17,70.9715511577221
1006,18,67.83965048905883
1006,19,58.249883474148106
1006,20,52.485625515844305
1006,21,44.66135829976691
1006,22,31.529457631103632
1007,0,70.0
1007,1,62.1757327839226
1007,2,45.663802243388844
1007,3,64.41603441550575
1007,4,56.59176719942866
1007,5,30.07983665889404
1007,6,53.83206883101044
1007,7,46.00780161493304
1007,8,39.46555277549321
1007,9,48.217784947609616
1007,10,40.393517731532214
1007,11,43.85126889209238
1007,12,52.603501064208785
1007,13,44.77923384813138
1007,14,48.23698500869155
1007,15,41.98921718080795
1007,16,34.164949964730546
1008,0,70.0
1008,1,46.61997709436216
1008,2,31.656860223809492
1009,0,70.0
1009,1,37.913105891171455
1009,2,50.17738629590898
1009,3,33.23240285282134
1010,0,70.0
1010,1,57.72336107046184
1010,2,75.44672214092388
1010,3,63.17008321138572
1010,4,50.893444281847565
1010,5,48.616805352309754
1010,6,56.34016642276957
1010,7,44.06352749323198
1010,8,41.78688856369422
1010,9,49.510249634156395
1010,10,37.233610704618236
1011,0,70.0
1011,1,59.53696552569424
1011,2,49.073931051388485
1014,0,70.0
1014,1,56.619977094362085
1014,2,46.65686022380942
1014,3,33.2768373181715
1016,0,70.0
1016,1,49.20063208496585
1016,2,33.40126416993169
2001,0,70.0
2001,1,44.943114708352006
2001,2,36.14402344809881
2001,3,37.34493218784561
2002,0,70.0
2002,1,59.94725903402036
2002,2,39.894518068040725
2004,0,70.0
2004,1,41.5197532903762
2004,2,107.63779119684544
2004,3,98.75582910331468
2004,4,89.87386700978392
2004,5,80.99190491625316
2004,6,72.1099428227224
2004,7,63.22798072919164
2004,8,54.34601863566088
2004,9,65.46405654213012
2004,10,61.58209444859936
2004,11,57.700132355068604
2004,12,48.818170261537844
2004,13,54.936208168007084
2004,14,61.054246074476325
2004,15,57.172283980945565
2004,16,58.290321887414805
2004,17,54.408359793884046
2004,18,50.526397700353286
2004,19,56.644435606822526
2004,20,47.762473513291766
2004,21,43.88051141976101
2004,22,39.99854932623025
2004,23,31.116587232699487
2005,0,70.0
2005,1,91.68964385548264
2005,2,100.24543011940389
2005,3,77.48783614606208
2005,4,61.04362240998333
2005,5,37.11711138856209
2005,6,37.830502758895165
2005,7,52.01999338677865
2005,8,47.733384757111736
2005,9,51.92287538499522
2005,10,47.66005212276382
2005,11,61.84954275064731
2005,12,57.58671948841591
2005,13,32.94512716472936
2006,0,70.0
2006,1,51.36609811857648
2006,2,32.73219623715296
2006,3,34.09829435572944
2006,4,45.46439247430594
2006,5,56.8001722932753
2006,6,43.13595211224467
2006,7,39.47173193121403
2006,8,65.8075117501834
2006,9,82.14329156915275
2006,10,58.479071388122115
2006,11,32.804868660054204
2007,0,70.0
2007,1,69.94725903402036
2007,2,69.43148359373498
2007,3,38.915708153449614
2007,4,43.3999327131639
2007,5,37.884157272878696
2007,6,32.3683818325933
2008,0,70.0
2008,1,37.415698693431324
2010,0,70.0
2010,1,60.29954994156376
2010,2,47.141849919195764
2010,3,41.562650608335524
2010,4,35.983451297475284
2011,0,70.0
2011,1,35.86695594708316
2013,0,70.0
2013,1,39.484224559714605
2013,2,33.968449119429174
2013,3,33.452673679143814
2013,4,32.93689823885842
2015,0,70.0
2015,1,94.42080068913975
2015,2,118.84160137827962
2015,3,113.26240206741937
2015,4,107.68320275655913
2015,5,102.10400344569888
2015,6,96.52480413483863
2015,7,90.94560482397839
2015,8,85.36640551311814
2015,9,79.78720620225802
2015,10,74.20800689139784
2015,11,68.62880758053771
2015,12,63.04960826967721
2015,13,57.47040895881669
2015,14,51.89120964795611
2015,15,46.312010337095515
2015,16,50.732811026235034
2015,17,45.153611715374566
2015,18,39.57441240451561
2015,19,33.99521309365514
2015,20,38.41601378279455
2015,21,42.836814471934204
2015,22,47.2576151610743
2015,23,41.67841585021438
2015,24,36.09921653935434
2015,25,30.520017228494318
2016,0,70.0
2016,1,107.24240602665824
2016,2,90.79819229057948
2016,3,68.04059831723768
2016,4,51.59638458115897
2016,5,67.66987355973785
2016,6,78.38326493007106
2016,7,92.57275555795468
2016,8,78.30993229572302
2016,9,72.4994229236065
2016,10,58.2365996613751
2016,11,32.42609028925859
2017,0,70.0
2017,1,64.4842245597146
2017,2,68.96844911942921
2017,3,73.45267367914381
2017,4,77.93689823885842
2017,5,93.60733512060199
2017,6,62.39244899228663
2017,7,34.59861258245316
2018,0,70.0
2018,1,62.1757327839226
2018,2,78.65140805928033
2018,3,71.98154644565457
2018,4,64.15727922957717
2018,5,40.632954504934894
2018,6,73.96309289130913
2018,7,66.13882567523166
2018,8,42.61450095058938
2018,9,75.48455607199102
2018,10,67.66028885591362
2018,11,64.17868922263074
2018,12,77.04874434403237
2018,13,69.22447712795497
2018,14,55.7428774946721
2018,15,88.61293261607375
2018,16,80.7886653999962
2018,17,68.06699771642221
2018,18,60.93705283782385
2018,19,53.11278562174645
2018,20,39.98088495308317
2018,21,30.39111793817245
2019,0,70.0
2019,1,94.42080068913975
2019,2,118.84160137827962
2019,3,113.26240206741937
2019,4,107.68320275655913
2019,5,102.10400344569888
2019,6,96.52480413483863
2019,7,90.94560482397839
2019,8,85.36640551311814
2019,9,79.78720620225802
2019,10,74.20800689139784
2019,11,68.6288075805376
2019,12,63.04960826967736
2019,13,57.47040895881712
2019,14,51.89120964795688
2019,15,46.31201033709664
2019,16,40.7328110262364
2019,17,35.15361171537616
2019,18,39.57441240451592
2019,19,43.99521309365568
2019,20,48.41601378279544
2019,21,52.8368144719352
2019,22,47.25761516107496
2019,23,41.67841585021472
2019,24,36.09921653935448
2020,0,70.0
2020,1,53.7037227176934
2020,2,34.352938671022926
2021,0,70.0
2021,1,67.72336107046183
2021,2,55.44672214092371
2021,3,43.17008321138555
2021,4,30.893444281847394
2021,5,58.616805352309164
2021,6,46.34016642277089
2021,7,54.06352749323244
2021,8,41.78688856369395
2021,9,69.5102496341558
2021,10,57.23361070461763
2021,11,54.956971775079474
2021,12,62.680332845541315
2021,13,50.40369391600316
2021,14,38.127054986465
2022,0,70.0
2022,1,61.2009087397468
2022,2,52.4018174794936
2022,3,53.6027262192404
2022,4,44.8036349589872
2022,5,36.004543698734004
2022,6,37.20545243848072
2022,7,38.40636117822734
2022,8,69.60726991797388
2022,9,70.80817865772028
2022,10,62.009087397466814
2022,11,53.209996137213295
2022,12,44.41090487695986
2022,13,35.61181361670644
2022,14,46.812722356453065
2022,15,38.01363109619966
2023,0,70.0
2023,1,32.44476176199035
2023,2,31.92898632170492
2023,3,36.41321088141941
2023,4,35.897435441133844
2023,5,30.381660000848452
2024,0,70.0
2024,1,44.51524814493712
2024,2,50.21752644505098
2024,3,41.41843518479778
2024,4,32.61934392454458
2024,5,43.82025266429126
2024,6,35.021161404038025
2024,7,46.22207014378456
2024,8,37.422978883531144
2024,9,68.62388762327814
2024,10,59.82479636302478
2024,11,91.02570510277143
2024,12,82.2266138425181
2024,13,73.42752258226473
2024,14,64.62843132201135
2024,15,55.829340061757975
2024,16,57.030248801504776
2024,17,48.23115754125158
2024,18,39.43206628099838
2024,19,30.632975020745178
2026,0,70.0
2026,1,62.1757327839226
2026,2,48.65140805928021
2026,3,81.52146318068185
2026,4,73.69719596460445
2026,5,60.215596331321564
2026,6,88.08565145272331
2026,7,80.26138423664591
2026,8,77.53971655307191
2026,9,70.40977167447355
2026,10,62.585504458396144
2026,11,39.86383677482215
2026,12,34.099578816518346
2027,0,70.0
2027,1,30.784312674660484
2029,0,70.0
2029,1,95.54323929125196
2029,2,36.34467252713894
3001,0,70.0
3001,1,79.20063208496585
3001,2,78.4012641699317
3001,3,67.60189625489734
3001,4,46.8025283398599
3001,5,51.00316042482598
3001,6,55.20379250979209
3001,7,59.404424594758254
3001,8,63.60505667972449
3001,9,67.80568876469079
3001,10,72.00632084965719
3001,11,76.20695293462363
3001,12,55.40758501958985
3001,13,44.60821710455593
3001,14,33.80884918952178
3002,0,70.0
3002,1,47.12249255069188
3004,0,70.0
3004,1,86.68964385548264
3004,2,61.180680728983376
3004,3,32.872669550645384
3005,0,70.0
3006,0,70.0
3006,1,79.20063208496585
3006,2,58.40126416993162
3006,3,37.60189625489737
3006,4,46.80252833986301
3006,5,51.003160424828685
3006,6,55.20379250979433
3006,7,59.404424594759924
3006,8,63.6050566797255
3006,9,67.80568876469097
3006,10,72.00632084965638
3006,11,76.20695293462178
3006,12,65.40758501958724
3006,13,44.608217104552935
3006,14,33.80884918951878
3007,0,70.0
3007,1,57.70838539334188
3007,2,61.46061756545818
3007,3,53.63635034938078
3007,4,43.042967845291535
3007,5,30.751353238633413
3007,6,49.503585410749885
3007,7,41.679318194672604
3007,8,51.08593569058351
3007,9,38.79432108392539
3007,10,62.54655325604205
3007,11,54.72228603996487
3007,12,51.837288929217685
3007,13,70.58952110133382
3007,14,62.76525388525641
3007,15,80.04358620168242
3007,16,93.79581837379882
3007,17,85.97155115772142
3007,18,102.83965048905814
3007,19,93.24988347414742
3007,20,87.48562551584362
3007,21,79.66135829976622
3007,22,66.52945763110296
3007,23,31.265487888124326
3008,0,70.0
3008,1,62.1757327839226
3008,2,35.663802243388844
3008,3,54.41603441550475
3008,4,46.59176719942759
3008,5,30.07983665889404
3008,6,63.832068831010524
3008,7,56.00780161493312
3008,8,49.465552775493386
3008,9,98.21778494760979
3008,10,90.39351773153238
3008,11,63.85126889209255
3008,12,92.60350106420879
3008,13,84.77923384813138
3008,14,78.23698500869155
3008,15,91.98921718080794
3008,16,84.16494996473054
3008,17,58.490747236662635
3008,18,44.90222206228144
3008,19,31.31369688790024
3008,20,57.725171713519046
3008,21,44.13664653913784
3008,22,60.54812136475662
3008,23,46.95959619037542
3008,24,33.37107101599415
3009,0,70.0
3009,1,46.61997709436204
3009,2,31.65686022380937
3010,0,70.0
3010,1,57.72336107046184
3010,2,45.44672214092352
3010,3,33.17008321138536
3010,4,40.8934442818472
3010,5,58.61680535230865
3010,6,46.34016642276893
3010,7,34.063527493231234
3010,8,51.7868885636936
3010,9,59.510249634156004
3010,10,47.23361070461826
3010,11,34.95697177508032
3011,0,70.0
3011,1,30.891297291815725
3011,2,32.86388147771641
3013,0,70.0
3013,1,59.53696552569424
3013,2,49.073931051388485
3015,0,70.0
3015,1,66.61997709436213
3015,2,36.65686022380946
3015,3,33.276837318171545
